34238.487305219,5,0,21,2583600,1,null
34238.487305219,5,0,14,2583100,1,null
34238.487831002,3,12227180,10,2585600,-1,null
34238.493926638,5,0,10,2583100,1,null
34240.613908646,1,12286788,500,2585000,-1,null
34240.614316482,3,12185944,29,2585500,-1,null
34240.739560682,1,12291508,12,2585000,-1,null
34241.712663559,5,0,5,2584900,1,null
34244.046404453,5,0,15,2584900,1,null
34244.046437609,5,0,9,2584900,1,null
34244.046437609,4,12286788,107,2585000,-1,null
34244.046476977,4,12286788,153,2585000,-1,null
34244.176251264,4,12286788,13,2585000,-1,null
34244.176299007,1,12352040,100,2583400,1,null
34244.176317793,4,12286788,100,2585000,-1,null
34244.176348964,4,12286788,127,2585000,-1,null
34244.176348964,4,12291508,12,2585000,-1,null
34244.176389859,1,12352092,50,2584200,1,null
34244.17891644,3,12352040,100,2583400,1,null
34244.206385748,3,12352092,50,2584200,1,null
34244.220347659,1,12352668,100,2583200,1,null
34244.326449568,3,12352668,100,2583200,1,null
34244.776841213,5,0,1,2586900,1,null
34245.887809817,1,12375204,100,2583000,1,null
34246.581320817,3,12185788,8,2582500,1,null
34246.581391944,1,12388524,8,2583000,1,null
34246.71073607,3,12388524,8,2583000,1,null
34246.716524033,5,0,8,2586400,1,null
34246.85466087,5,0,1,2586400,1,null
34247.598978427,3,12249008,100,2583000,1,null
34247.600511629,1,12404820,100,2584000,1,null
34249.278846438,1,12437856,100,2585200,1,null
34251.232714565,5,0,100,2587400,1,null
34251.232714565,4,12058036,312,2587500,-1,null
34251.249766663,4,12058036,500,2587500,-1,null
34251.249811928,1,12463484,50,2586300,1,null
34251.249815445,1,12463492,100,2585700,1,null
34251.250154783,3,12463276,30,2588400,-1,null
34251.252422292,3,12463492,100,2585700,1,null
34251.27980345,3,12463484,50,2586300,1,null
34252.123722711,1,12473192,100,2585500,1,null
34253.361470018,5,0,17,2587700,1,null
34253.361583603,1,12494068,15,2588300,-1,null
34253.361605148,5,0,63,2587700,1,null
34253.361605148,4,3841468,17,2588000,-1,null
34253.391577512,3,12494068,15,2588300,-1,null
34254.140238929,4,3841468,63,2588000,-1,null
34254.140238929,5,0,37,2588000,1,null
34254.140283392,1,12505156,50,2586700,1,null
34254.170277668,3,12505156,50,2586700,1,null
34254.375482156,5,0,37,2588300,1,null
34254.375482156,5,0,5,2588300,1,null
34254.727493325,1,12513572,130,2586000,1,null
34254.79622317,5,0,38,2588300,1,null
34254.79622317,4,7541460,62,2588500,-1,null
34254.796256893,4,7541460,38,2588500,-1,null
34254.796292947,1,12514312,50,2587200,1,null
34254.826290459,3,12514312,50,2587200,1,null
34256.110168309,1,12536248,3,2586400,1,null
34256.570952853,4,3333312,20,2588600,-1,null
34256.570952853,4,5105724,5,2588600,-1,null
34256.570952853,4,7301372,200,2588900,-1,null
34256.570997017,1,12543564,50,2587500,1,null
34256.571018779,1,12543572,100,2586900,1,null
34256.572591365,3,12543572,100,2586900,1,null
34256.600995038,3,12543564,50,2587500,1,null
34257.717872026,1,12560804,30,2588000,1,null
34257.720499164,4,6560960,175,2589000,-1,null
34257.720531974,4,6560960,3297,2589000,-1,null
34257.720571092,4,6560960,528,2589000,-1,null
34257.720571092,4,11143284,100,2589000,-1,null
34257.720571855,5,0,17,2589000,1,null
34257.720572711,5,0,42,2589000,1,null
34257.72058483,5,0,441,2589000,1,null
34257.720616863,1,12561020,50,2588500,1,null
34257.720624603,4,44404,17,2589300,-1,null
34257.720854938,1,12561052,15,2588500,1,null
34257.721098677,4,44404,83,2589300,-1,null
34257.721098677,4,9450964,94,2589500,-1,null
34257.721136092,4,9450964,906,2589500,-1,null
34257.72160908,1,12561124,10,2589500,-1,null
34257.721637665,3,12561020,50,2588500,1,null
34257.722088168,3,12561052,15,2588500,1,null
34257.722162968,3,12560804,30,2588000,1,null
34257.722260936,4,12561124,10,2589500,-1,null
34257.920567367,1,12563732,1,2587500,1,null
34259.521114955,3,9747812,5,2590000,-1,UBSS
34259.842670565,3,12536248,3,2586400,1,null
34259.842723204,1,12600916,3,2587000,1,null
34261.658839555,3,4316492,35,2590000,-1,null
34261.664288716,5,0,65,2589700,1,null
34261.668853733,4,12003932,10,2589800,-1,null
34261.668895042,1,12667816,50,2588600,1,null
34261.669391113,1,12667892,15,2589300,1,null
34261.669426876,4,24464,1,2590000,-1,null
34261.669426876,4,3318860,99,2590000,-1,null
34261.669456791,4,3318860,100,2590000,-1,null
34261.669469382,4,3318860,71,2590000,-1,null
34261.669469382,4,3677204,100,2590000,-1,null
34261.669469382,4,4725040,600,2590000,-1,UBSS
34261.669469382,4,5641560,100,2590000,-1,null
34261.669469382,4,6669720,129,2590000,-1,null
34261.669505104,4,6669720,1,2590000,-1,null
34261.669505104,4,6669932,130,2590000,-1,null
34261.669505104,4,7045396,6,2590000,-1,null
34261.669505104,4,7228344,100,2590000,-1,null
34261.669505104,4,7295672,200,2590000,-1,null
34261.669505104,4,7578536,1,2590000,-1,null
34261.669505104,4,7748320,100,2590000,-1,null
34261.669505104,4,7870312,27,2590000,-1,null
34261.669505104,4,9313328,10,2590000,-1,null
34261.669505104,4,9356204,50,2590000,-1,null
34261.669505104,4,9591852,40,2590000,-1,null
34261.669505104,4,10023000,100,2590000,-1,null
34261.669505104,4,10163788,400,2590000,-1,null
34261.669505104,4,10941752,5,2590000,-1,null
34261.669752789,1,12668012,27,2588700,1,null
34261.669765694,1,12668028,15,2589600,1,null
34261.669983761,4,11138392,3,2590400,-1,null
34261.669985,4,11138392,20,2590400,-1,null
34261.67004018,4,11138392,3,2590400,-1,null
34261.670048732,1,12668084,100,2590400,-1,null
34261.670188996,4,11138392,74,2590400,-1,null
34261.670188996,4,12668084,100,2590400,-1,null
34261.670247,1,12668108,100,2590400,-1,null
34261.670644657,4,12668108,92,2590400,-1,null
34261.670681437,4,12668108,8,2590400,-1,null
34261.670719823,1,12668144,50,2590000,1,null
34261.671000128,4,12668144,50,2590000,1,null
34261.671052822,1,12668160,50,2590400,-1,null
34261.671064032,3,12668028,15,2589600,1,null
34261.671075988,1,12668168,5,2590400,-1,null
34261.671136607,3,12667892,15,2589300,1,null
34261.679200295,4,12668160,50,2590400,-1,null
34261.679200295,4,12668168,5,2590400,-1,null
34261.682114628,1,12668484,27,2589200,1,null
34261.682901814,3,12668484,27,2589200,1,null
34261.684535986,4,5611760,3,2591100,-1,null
34261.684575756,1,12668604,50,2589300,1,null
34261.714570211,3,12668604,50,2589300,1,null
34261.866111769,3,9286460,50,2591400,-1,null
34261.867320396,1,12672000,30,2592100,-1,null
34261.897311235,3,12672000,30,2592100,-1,null
34262.868039647,1,12696924,100,2590300,1,null
34262.941483011,1,12698024,100,2587500,1,null
34263.12734682,5,0,21,2590400,1,null
34263.12734682,5,0,79,2590400,1,null
34263.127404087,5,0,21,2590400,1,null
34263.127404087,4,12696924,79,2590300,1,null
34263.127437428,4,12696924,21,2590300,1,null
34263.375640208,1,12705948,200,2587100,1,null
34264.358231311,1,12728148,30,2591800,-1,null
34264.388226818,3,12728148,30,2591800,-1,null
34264.867025408,1,12742252,100,2587600,1,null
